Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
13968,115,ACTIVE,SCHWINN,NONE,2014,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625,,,115Pedicab
13976,31,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,31Pedicab
14210,177,ACTIVE,VIP,VIP,2018,BLUE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,177Pedicab
14215,75,VIOLATION,MAINSTREET,CLASSIC,0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606,,,75Pedicab
14286,88,ACTIVE,VIP,VIP,2021,WHITE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642,,,88Pedicab
14323,114,VIOLATION,MANMADE,NONE,2013,BLACK/RED,Pedal,N,BRUNO BRAJOVIC,432 W. BELDEN AVE.,CHICAGO,IL,60614,,,114Pedicab
14331,103,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,103Pedicab
14427,183,ACTIVE,MANMADE,BROADWAY,2014,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,183Pedicab
14472,122,ACTIVE,VIP,NONE,2018,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618,,,122Pedicab
14679,33,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,33Pedicab
14681,199,ACTIVE,MANMADE,WAGON,2016,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,199Pedicab
14737,123,ACTIVE,VIP,NONE,2018,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618,,,123Pedicab
14804,148,ACTIVE,VIP,CLASSIC,2014,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,148Pedicab
14896,58,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,58Pedicab
14920,66,VIOLATION,MAINSTREET,CLASSIC,0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606,,,66Pedicab
15005,21,VIOLATION,VIP,5 SEATER,2014,RED,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,21Pedicab
15036,151,ACTIVE,VIP,CLASSIC,2014,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,151Pedicab
15037,170,ACTIVE,MANMADE,CLASSIC,2018,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616,,,170Pedicab
15113,107,ACTIVE,VIP,VIP,2018,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,107Pedicab
15153,104,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,104Pedicab
15176,8,ACTIVE,MAINSTREET,BACK TO BACK,2020,SILVER,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605,,,8Pedicab
15237,158,SURRENDER,SCHWINN,NONE,2016,BLACK,Pedal,N,NIKOLA MLADENOVIC,4935 N. MASON AVE.,CHICAGO,IL,60630,,,158Pedicab
15248,77,VIOLATION,MAINSTREET,CLASSIC,0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606,,,77Pedicab
15277,85,SURRENDER,VIP,VIP,2021,WHITE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642,,,85Pedicab
15297,99,ACTIVE,VIP,VIP,2023,BLUE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642,,,99Pedicab
15380,40,ACTIVE,PRECISION,3 SEATER,2017,FUSCIA,Pedal,N,JBL PEDICAB MANAGEMENT LLC,1627 N. TRIPP AVE.,CHICAGO,IL,60639,,,40Pedicab
15509,68,VIOLATION,MAINSTREET,CLASSIC,0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606,,,68Pedicab
15569,176,ACTIVE,VIP,VIP,2018,BLUE,Pedal,Y,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,176Pedicab
15706,189,ACTIVE,MANMADE,BROADWAY,2014,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,189Pedicab
15738,102,SURRENDER,TIPKE,SUPER,1985,SILVER,Pedal,N,AMANDA GRACE O'BRIEN-HICKEY,637 N. CHRISTIANA AVE.,CHICAGO,IL,60624,,,102Pedicab
15821,13,VIOLATION,CUSTOM,CSM STYLE,2012,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,13Pedicab
15827,173,ACTIVE,MANMADE,CLASSIC,2018,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616,,,173Pedicab
15922,111,ACTIVE,VIP,VIP,2023,BLUE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642,,,111Pedicab
